Adamite,adamite,Mineral
Adamsite,adamsite,EmeticAgentStuff
Adaptation,adaptation,umbel#Activities,IntrinsicStateChangeEvent
Addiction,dependence,PhysiologicalCondition
AddictionMedicineSpecialist,addiction medicine specialist,Doctor_Medical
AddictionPsychiatrist,addiction psychiatrist,AddictionMedicineSpecialist,Psychiatrist
Addiction_medicine,addiction medicine,umbel#Diseases
AddictiveSubstance,addictive substance,DrugSubstance
AddressBook,address book,BookCopy
AddressLabel,address label,VisualLabel
AddressResolutionProtocol,Address Resolution Protocol,umbel#Notations
Address_LocationDesignator,"",umbel#Notations
Address_PhysicalLocationDesignator,physical address,ContactInfoString
Addressee,Addressee,umbel#WrittenInfo
Addresses_Geography_Topic,addresses-geography-topic,Geography_Topic
AdductorBrevis,adductor brevis,SkeletalMuscle
AdductorLongus,adductor longus muscle,SkeletalMuscle
AdductorMagnus,adductor magnus,SkeletalMuscle
AdductorPollicis,adductor pollicis,SkeletalMuscle
AdenineDeoxyribonucleotide,adenine deoxyribonucleotide,AdenineNucleotide,Deoxyribonucleotide
AdenineNucleotide,adenine nucleotide,Nucleotide
AdenineRibonucleotide,adenine ribonucleotide,AdenineNucleotide,Ribonucleotide
Adenine_Base,adenine,NitrogenBase
Adenomyosis,Adenomyosis,AilmentCondition
AdenosineTriphosphate,adenosine triphosphate,NucleosideTriphosphate
Adherent,adherent,HomoSapiens,Person
AdhesiveTape,adhesive tape,Tape
Adjective,"",umbel#Notations
Adjective_Gradable,adjective,OpenClassWord
AdjustableRateLoan,adjustible rate loan,LoanAgreement
AdjustableRateMortgage,adjustable rate mortgage,AdjustableRateLoan,MortgageAgreement
AdjustableWrench,adjustable wrench,Wrench
AdministeringAnInjection,administering an injection,umbel#Activities
AdministrationOrder,administration order,Writ
AdministrationProgram,administration program,UtilityProgram
Administration_Management,disposal,Handling_Management
AdministrativeAssistant,administrative assistant,AdministrativeStaffPerson
AdministrativeDepartment,administrative department,AdministrativeUnit,Department
AdministrativeDistrict,administrative district,umbel#Geopolitical
