"[:LeafFn, :""Mint-FloweringPlant""]",1
Jam-Foodstuff,2
ObservationPost,1
ComputerSoftwareLibrary-CW,1
XBox,1
Brass,1
ComputerDisk,1
Clutch,1
Norepinephrine,1
MagnesiumTrisilicate,1
HotCereal-Uncooked,1
SandMob,1
HotCereal-Cooked,1
Leather,2
MakeupPowder,1
Absinthe,1
White-HairColor,1
Methane,1
HouseFly,1
Tent,1
Pillar-Topographical,1
MunitionsDepot,1
Aflatoxin,1
RoofOfAConstruction,2
BridalWear,2
PrisonCell,1
Coffee-Hot,1
Aluminum,1
Ayahuasca,1
AcrylicPaint,1
AgarCultureMedium,1
"[:LeafFn, :LaurelBush]",1
Berkelium,1
"[:CollectionIntersection2Fn, :""Bronze-Stuff"", :ArtObject]",1
Bohrium,1
CellNucleus,1
CompactDisc-Audio,1
EastAsianCuisine,3
ComputerMemory-Abstract,3
KrebsCycle,2
PluralityOfLikeSubevents,7
Dubnium,1
Electron,1
Einsteinium,1
B-29-Bomber,1
ElectronMicroscope,3
FloppyDisk,1
Fat,4
Gold,1
Glycolysis,2
Hassium,1
WrinkleRemovingDevice,2
Lawrencium,1
Mendelevium,1
Meiosis,1
FunctionalGroup-Molecular,2
Meitnerium,1
MitoticPhaseOfCellCycle,1
NickelCoin-US,1
Nobelium,1
Nail,1
NaturalGas,1
Opium,1
Propeller,1
Pulley,1
AnimalPen,1
Rutherfordium,1
Rust,1
Seaborgium,1
SnowMob,1
SignalTransduction-CellularProcess-MultiStageReaction,2
Technetium,1
Tin,1
Turbine,1
Gauge,8
TemperaPaint,1
MeasuringSpoon,3
Ontology,1
Voltmeter,1
CottonCloth,2
Clay-Wet,1
ToiletPaper,1
WoolCloth,1
Wax,2
GyroCompass,1
Crayon,1
Straw,1
RadioTelescope,1
Splenda,1
Closet,1
Gargoyle-Sculpture,2
Sidewalk,1
PaperClip,1
Lantern,1
Racket-SportsEquipment,1
Saffron,1
Calligraphy-ArtObject,1
"[:RootFn, :GingerPlant]",1
SlaughterhouseBuilding,1
Mercury,1
Firework-Display,1
HeatPump,1
Odometer,1
Canvas,1
ExcretionSubstance,1
Jukebox,1
Paper,2
Signature,2
ElectronTransportChain,1
Peat,1
CellularRespiration-Aerobic,1
FacialTissue,1
Centrifuge,1
TorpedoTube,1
LacrimalFluid,1
"[:StuffFn, [:FruitFn, :LimeTree]]",1
Sink,1
BodyArmor,2
Rayon,1
TrafficLight,1
WeddingRing,1
Harrow,1
CropFarm,1
ShockAbsorber,1
Naphtha,1
Tar,1
MustardSeed,1
Surfboard,1
BakingPowder,1
CameraLens,1
RubeGoldbergDevice,1
Coffee-Instant,1
Egg-Chickens,2
BlushWine,1
Tachometer,1
Buttermilk,1
Bazooka,1
PlantPot,1
Throne,1
Tampon-Feminine,1
BumperSticker,1
RailwaySignal,1
TradingCard,2
"[:FruitFn, :HazelTree]",1
Globe-Map,1
ZipperTheFastener,1
BusinessCard,1
Ferrule,1
Accelerometer,1
CigaretteLighter,1
IceSkate,3
Staple,1
DimeCoin-US,1
HalfDollarCoin-US,1
HeatingOil,1
Sofa-PieceOfFurniture,2
AutomobileHeadLight,1
FencingFoil,1
CorrectionTape,1
Firewood,1
ClothingIBO,1
AutomobileBumper,1
AutomobileSeat,2
Sabot-ProjectileWeapon,1
SlowCooker,1
PaperTowel,1
CottonSwab,1
Wizard,1
ProteinDimer,2
SeminarSeries,1
SafeTheLocker,1
Gray-HairColor,1
CoolingTower,1
Colander,1
ChildrensCarSeat,1
SanitaryNapkin,1
BirdBath,1
Mattress,1
Bathtub,1
Trailer,1
LightSwitchOnWall,1
Headset,1
Game-EquipmentSet,1
ArrangingObjects,3
FlannelCloth,1
WhiteWine,1
Doorbell,1
"[:SubcollectionOfWithRelationToFn, :RoofOfAConstruction, :mainColorOfObject, :BlueColor]",1
Shingle-BuildingMaterial,1
Condom,1
ElectricToothbrush,1
AluminumFoil,1
"[:MoleculeFn, :InorganicCompound]",1
MechanicalPencil,1
WheelAndAxle,1
AutomobileTire,1
HoseClamp,1
GasCookingRange,1
Briefcase,1
TennisBall,1
WirelessRouter,1
Chuppah,1
Revetment,1
Gesture,1
EqualTheSweetener,1
CandyThermometer,1
PaperBag,1
ToyBalloon,1
TableTennisPaddle,1
TireChains,1
WindowCovering,3
PhysicalTemplate,2
Tetrad-Chromosomal,1
AbrinToxin,1
LacrosseBall,1
GardenHose,1
Buckle-Fastener,1
SofaBed,1
MeatThermometer,1
Urine,1
Knife-Electric,1
FoldingChair,1
ElectricBlanket,1
HuntingKnife,1
OilFilter,1
Fender-AutoBodyPart,1
Condenser,1
Jack-LiftingDevice,1
BattlefieldPark,1
Basketball-Ball,1
Dilbit,1
BoundaryMarker,1
Smoothie,1
"[:CollectionIntersection2Fn, :Helicopter, :MilitaryAircraft]",1
PotassiumPhosphate,1
Amazon-Warrior,1
CoffeeTable-PieceOfFurniture,1
Cleats-Shoe,1
RoboticSurgicalSystem,1
KoolAid,1
GoldenRetriever,1
Charcoal,1
"[:FruitFn, :PumpkinPlant]",1
SoapDish,1
Feces,2
HospitalBed,1
LiftTicket,1
"[:FruitFn, :WalnutTree]",1
AluminumHydrideOxide,1
Diglyceride,1
Sled,2
JumperCables,1
AutoWaterPump,1
BritishMilitaryWeapon,1
Path-InfoTransfer,1
Graffiti,1
WheatFlour,1
ParkingLot,1
Telegraph,1
AutomobileSuspensionSystem,1
Smokestack,1
Token-Physical,2
Transceiver,1
Tap-FlowControlDevice,1
AutomaticTransmission5Speed,1
Jetty,1
BarbedWireFence,1
Puree,1
Candle,1
BuildingInsulation,1
AutomobileWheel,1
WaterMain,1
WheatKernel,1
WindowScreen,1
TankFarm,1
FuelPoweredDevice,2
