seq,changed?,dbpedia,umbel,status,source,comments,BLANK,hier1,hier2,hier3,hier4,hier5,hier6,hier7,,status,,source
136,,FigureSkater,FigureSkater,OK,web+onto+v105,,,,,,FigureSkater,,,,,,,
137,,GaelicGamesPlayer,Athlete,NEED,web+onto+v105,,,,,,GaelicGamesPlayer,,,,,,,
138,,GolfPlayer,Golfer,OK,web+onto,,,,,,GolfPlayer,,,,,,,
139,,GridironFootballPlayer,FootballPlayer_American,OK,web+onto+v105,,,,,,GridironFootballPlayer,,,,,,,
140,,AmericanFootballPlayer,FootballPlayer_American,OK,web+onto+v105,,,,,,,AmericanFootballPlayer,,,,,,
141,,CanadianFootballPlayer,FootballPlayer_Canadian,OK,web+onto+v105,,,,,,,CanadianFootballPlayer,,,,,,
142,,Gymnast,Gymnast,OK,web+onto,,,,,,Gymnast,,,,,,,
143,,HandballPlayer,TeamHandballPlayer,OPENCYC,web+onto,,,,,,HandballPlayer,,,,,,,
144,,HorseRider,Athlete,NEED,web,,,,,,HorseRider,,,,,,,
145,,IceHockeyPlayer,IceHockeyPlayer,OK,web+onto+v105,,,,,,IceHockeyPlayer,,,,,,,
146,,Jockey,Jockey,OK,web+onto,,,,,,Jockey,,,,,,,
147,,LacrossePlayer,LacrossePlayer,OPENCYC,web+onto,,,,,,LacrossePlayer,,,,,,,
148,,MartialArtist,MartialArtist,OK,web+onto,,,,,,MartialArtist,,,,,,,
149,,MotorsportRacer,Driver_TransportationProfessional,OK,web,,,,,,MotorsportRacer,,,,,,,
150,,MotorcycleRider,Motorcyclist_Professional,NEED,web+onto,,,,,,,MotorcycleRider,,,,,,
151,,SpeedwayRider,Driver_TransportationProfessional,NEED,web+onto,,,,,,,,SpeedwayRider,,,,,
152,,RacingDriver,Driver_TransportationProfessional,OK,web+onto,,,,,,,RacingDriver,,,,,,
153,,FormulaOneRacer,FormulaOneRacer,OK,web+onto+v105,,,,,,,,FormulaOneRacer,,,,,
